<s> <s>,-2.70805020110221
<s> i,-1.3217558399823195
<s> am,-2.70805020110221
<s> sam,-2.0149030205422647
<s> </s>,-2.70805020110221
<s> do,-2.70805020110221
<s> not,-2.70805020110221
<s> like,-2.70805020110221
<s> green,-2.70805020110221
<s> eggs,-2.70805020110221
<s> and,-2.70805020110221
i <s>,-2.70805020110221
i i,-2.70805020110221
i am,-1.3217558399823195
i sam,-2.70805020110221
i </s>,-2.70805020110221
i do,-2.0149030205422647
i not,-2.70805020110221
i like,-2.70805020110221
i green,-2.70805020110221
i eggs,-2.70805020110221
i and,-2.70805020110221
am <s>,-2.639057329615259
am i,-2.639057329615259
am am,-2.639057329615259
am sam,-1.540445040947149
am </s>,-1.9459101490553135
am do,-2.639057329615259
am not,-2.639057329615259
am like,-2.639057329615259
am green,-2.639057329615259
am eggs,-2.639057329615259
am and,-2.639057329615259
sam <s>,-2.70805020110221
sam i,-2.0149030205422647
sam am,-2.70805020110221
sam sam,-2.70805020110221
sam </s>,-1.3217558399823195
sam do,-2.70805020110221
sam not,-2.70805020110221
sam like,-2.70805020110221
sam green,-2.70805020110221
sam eggs,-2.70805020110221
sam and,-2.70805020110221
</s> <s>,-2.3978952727983707
</s> i,-2.3978952727983707
</s> am,-2.3978952727983707
</s> sam,-2.3978952727983707
</s> </s>,-2.3978952727983707
</s> do,-2.3978952727983707
</s> not,-2.3978952727983707
</s> like,-2.3978952727983707
</s> green,-2.3978952727983707
</s> eggs,-2.3978952727983707
</s> and,-2.3978952727983707
do <s>,-2.4849066497880004
do i,-2.4849066497880004
do am,-2.4849066497880004
do sam,-2.4849066497880004
do </s>,-2.4849066497880004
do do,-2.4849066497880004
do not,-1.791759469228055
do like,-2.4849066497880004
do green,-2.4849066497880004
do eggs,-2.4849066497880004
do and,-2.4849066497880004
not <s>,-2.4849066497880004
not i,-2.4849066497880004
not am,-2.4849066497880004
not sam,-2.4849066497880004
not </s>,-2.4849066497880004
not do,-2.4849066497880004
not not,-2.4849066497880004
not like,-1.791759469228055
not green,-2.4849066497880004
not eggs,-2.4849066497880004
not and,-2.4849066497880004
like <s>,-2.4849066497880004
like i,-2.4849066497880004
like am,-2.4849066497880004
like sam,-2.4849066497880004
like </s>,-2.4849066497880004
like do,-2.4849066497880004
like not,-2.4849066497880004
like like,-2.4849066497880004
like green,-1.791759469228055
like eggs,-2.4849066497880004
like and,-2.4849066497880004
green <s>,-2.4849066497880004
green i,-2.4849066497880004
green am,-2.4849066497880004
green sam,-2.4849066497880004
green </s>,-2.4849066497880004
green do,-2.4849066497880004
green not,-2.4849066497880004
green like,-2.4849066497880004
green green,-2.4849066497880004
green eggs,-1.791759469228055
green and,-2.4849066497880004
eggs <s>,-2.4849066497880004
eggs i,-2.4849066497880004
eggs am,-2.4849066497880004
eggs sam,-2.4849066497880004
eggs </s>,-2.4849066497880004
eggs do,-2.4849066497880004
eggs not,-2.4849066497880004
eggs like,-2.4849066497880004
eggs green,-2.4849066497880004
eggs eggs,-2.4849066497880004
eggs and,-1.791759469228055
and <s>,-2.4849066497880004
and i,-2.4849066497880004
and am,-2.4849066497880004
and sam,-1.791759469228055
and </s>,-2.4849066497880004
and do,-2.4849066497880004
and not,-2.4849066497880004
and like,-2.4849066497880004
and green,-2.4849066497880004
and eggs,-2.4849066497880004
and and,-2.4849066497880004
