<s> okay,-4.07753744390572
okay let's,-2.169053700369523
let's see,-3.131864447878571
see i,-2.8213788864092133
i want,-1.1221683697047844
want to,-0.41662756324863837
to go,-1.9989729940305248
go to,-1.0445450673978338
to a,-3.5348869896180735
a thai,-3.7784916128036232
thai restaurant,-1.7963784150843496
restaurant with,-3.8567745311976673
with less,-4.189654742026425
less than,-0.15252598410025642
than ten,-1.3688157638459308
ten dollars,-0.7612849857271633
dollars per,-3.1612467120315646
per person,-0.25593337413720063
person </s>,-0.1431008436406733
<s> i,-1.3936857246230379
i like,-3.5400643092098245
like to,-0.2540276263713916
to eat,-1.2697014842234091
eat lunch,-2.7152966096229774
lunch time,-3.8943680701894254
time so,-2.772588722239781
so that,-3.912023005428146
that would,-3.9019726695746444
would be,-2.9234116119743647
be eleven,-5.942799375126701
eleven a__m,0.0
a__m to,-0.6931471805599453
to one,-6.11257537285704
one p__m,-3.721669276936927
p__m </s>,-0.11778303565638351
i don't,-2.5095634464008603
don't want,-1.0288165267325677
to walk,-4.537039012098621
walk for,-2.653241964607215
for more,-6.507277712385012
more than,-0.9854239443900367
than five,-1.7792436612962244
five minutes,-1.4936060969089786
minutes </s>,-0.8941997740599632
<s> tell,-3.231225290843275
tell me,-0.013216051391526375
me more,-1.72708625888562
more about,-1.1890228996312762
about the,-2.0907410969337694
the nakapan,-5.633896347192034
nakapan restaurant,-1.7047480922384253
restaurant on,-3.262067423450975
on martin,-5.157137753085257
martin luther,0.0
luther king,0.0
king </s>,-0.6061358035703156
a hamburger,-4.248495242049359
hamburger restaurant,-2.4849066497880004
restaurant </s>,-0.6891920007170173
<s> let's,-3.6161918774030983
let's start,-0.33865643843605403
start again,-2.7263993397704067
again </s>,-0.17589066646366416
to get,-4.215455387971159
get a,-1.2961432641255932
hamburger at,-3.1780538303479458
at an,-5.231108616854587
an american,-2.498699971920336
american restaurant,-2.1118068261818674
<s> i'd,-2.660680432375662
i'd like,-0.02799560748942698
eat dinner,-2.8308094967448216
dinner and,-4.21318523943662
and i,-1.9050881545350582
don't mind,-2.878395566849449
mind walking,-1.6094379124341003
walking for,-4.204692619390966
